0	0	0	1	1	1
2	0	0	3	0	0
1	0	1	1	0	1
115	133	139	89	189	135
0	2	1	1	0	0
3	1	3	1	3	0
7	14	0	8	9	8
1	1	3	0	2	0
1	0	0	0	0	1
2	2	2	2	0	2
4	0	2	0	2	3
3	15	12	11	10	16
8	16	7	19	12	19
2	1	0	0	0	0
0	1	0	3	0	0
1	1	1	0	0	1
0	1	4	1	0	0
3	1	1	0	2	3
3	3	5	4	2	1
23	25	54	18	55	51
1	0	1	0	2	2
7	4	8	2	5	3
0	0	1	0	2	0
27	30	72	31	59	58
1	0	0	1	0	0
0	0	2	0	2	0
2	4	1	0	1	0
1	0	0	0	1	2
3	3	0	0	2	3
125	156	166	136	180	129
0	0	3	0	0	0
0	0	1	0	0	0
1	3	0	0	5	0
0	0	0	0	0	4
1	9	4	4	4	0
254	264	131	184	186	154
0	1	0	0	0	0
15	22	6	19	4	8
0	0	1	1	2	0
0	0	1	1	1	0
0	0	0	0	3	0
29	24	11	21	9	11
0	4	1	2	4	4
0	0	0	0	0	1
0	0	0	0	0	1
3	6	2	1	3	3
0	0	0	0	1	0
1	0	0	0	0	0
0	0	1	0	1	1
2	4	4	4	3	3
1	6	7	1	10	2
70	115	68	97	89	71
1	0	0	0	1	0
7	11	3	2	1	5
0	1	0	0	0	0
22	26	39	16	31	17
1	0	1	0	0	0
0	0	7	0	1	1
13	7	3	9	4	8
5	4	1	12	0	1
1	0	1	1	0	0
40	37	54	34	57	55
0	0	0	3	0	0
1	0	1	0	0	0
9	9	4	8	7	3
102	192	60	169	144	195
0	0	1	0	1	3
7	6	4	4	4	1
3	5	6	3	12	2
1	2	1	1	3	3
1	1	0	1	1	1
1	2	3	1	1	2
0	0	0	0	0	2
1	1	3	0	1	0
32	23	25	27	36	22
2	3	5	2	1	1
2	2	1	2	3	1
35	44	6	26	6	5
0	0	0	0	0	1
9	11	9	8	20	16
0	0	2	0	0	0
0	0	0	1	0	0
0	0	0	0	0	1
0	0	0	0	0	4
0	0	0	1	0	0
54	55	14	62	13	15
0	1	0	0	0	0
0	2	1	3	0	1
129	179	134	125	126	130
1	3	1	7	2	7
22	13	15	9	18	12
0	1	0	0	0	0
1	0	0	1	1	1
1	2	3	1	3	2
1	0	0	0	4	0
26	38	43	26	42	34
1	1	0	0	1	0
0	1	0	2	3	0
56	67	62	45	51	52
5	2	2	0	2	2
1	2	4	7	7	7
0	0	2	0	2	0
1	0	0	0	0	0
4	4	0	3	2	1
2	3	1	2	0	1
56	53	36	32	39	32
0	0	0	1	0	1
153	169	155	129	159	160
11	11	11	7	14	20
53	80	13	59	11	14
2	2	7	3	3	3
3	1	1	2	2	1
0	0	0	2	0	0
340	397	246	321	253	233
0	3	0	3	0	0
0	0	0	0	0	1
0	0	0	2	0	1
1	0	0	0	0	0
50	71	52	49	48	55
1	2	3	1	0	0
3647	4026	3270	3524	3518	3289
6	2	1	1	0	1
3	16	2	13	2	7
8	10	6	6	10	10
338	378	388	296	351	337
0	2	0	0	0	0
60	77	67	57	76	51
1	2	2	1	3	1
1071	1177	829	1017	838	827
672	786	1045	675	1096	1075
0	0	2	0	1	0
54	37	34	36	34	44
14	10	17	14	8	16
0	0	3	0	0	0
187	189	62	168	65	78
0	1	3	0	5	6
1	0	0	0	0	0
9	8	16	10	9	17
296	346	426	284	425	459
2	4	2	2	3	3
43	36	29	32	29	27
7	13	10	2	10	8
10	13	12	5	10	11
29	33	16	28	27	31
0	0	0	0	1	0
3238	3497	1739	3048	1909	2048
2026	2362	1337	1948	1434	1391
1558	1755	1125	1566	1215	1174
1	0	1	0	0	0
7	5	1	8	0	4
38	55	25	39	31	29
14	5	12	11	8	7
348	431	279	360	262	261
8	10	6	7	9	11
3	4	7	8	14	13
0	0	0	0	1	0
0	3	0	1	2	1
43	43	25	43	24	13
0	2	1	2	6	1
0	1	0	0	0	0
1241	1489	1058	1290	1122	1020
1	2	1	0	1	0
0	1	3	0	1	0
1	0	0	1	0	0
59	74	121	52	129	115
0	0	0	0	0	1
17	12	32	6	12	0
5	1	2	2	5	1
3	1	1	6	1	0
0	0	1	0	0	0
0	0	1	0	0	1
15	17	22	13	32	23
2	1	0	0	0	0
3	5	4	5	3	5
0	0	0	0	0	1
29	18	13	19	22	17
1835	2075	1387	1783	1513	1406
231	235	472	234	462	440
5	2	2	9	6	3
38	49	37	56	34	26
0	0	3	2	0	0
0	1	1	1	1	1
2148	2486	2849	2132	3020	2933
5	2	1	2	4	0
2	16	11	9	7	8
1	1	2	1	1	0
1	0	1	1	0	0
1	2	4	5	2	3
17	21	8	16	12	8
2	2	0	4	1	0
0	0	0	2	1	2
563	610	420	554	485	428
189	204	172	175	183	172
3	4	3	2	3	4
1799	2177	402	1891	384	397
3	0	2	1	0	1
1	0	0	2	1	2
0	0	0	1	0	0
6	10	6	18	8	3
964	1060	780	913	816	797
3	2	3	2	2	2
0	2	2	0	2	1
12813	14347	8450	11565	8882	8138
314	384	189	330	223	198
0	7	0	0	2	3
0	3	1	0	1	3
1884	2292	2064	1730	2167	1983
209	241	226	208	243	205
414	419	521	372	546	537
0	1	0	1	0	0
1	1	2	2	1	0
856	918	1062	819	1151	1243
1336	1520	1119	1345	1335	1172
0	0	1	1	3	0
776	833	709	686	685	713
3	0	2	3	3	2
8	5	9	3	10	17
105	136	166	130	146	135
22	21	20	19	19	19
0	0	2	1	0	2
0	0	3	0	1	1
8	7	9	9	13	10
7	2	4	3	6	2
1	1	0	0	1	0
2115	2441	1634	2067	1751	1620
8500	10005	7012	8236	7307	6837
2889	3392	2566	2967	2802	2611
1316	1546	730	1282	790	720
0	0	0	0	5	1
1	1	0	4	6	2
200	240	167	200	161	161
0	0	1	3	3	0
15	30	0	17	4	3
4	2	0	2	0	1
1	1	0	1	1	0
1	1	0	0	1	2
1148	1308	827	1172	842	867
405	553	525	436	561	565
865	940	585	788	621	678
9	8	7	2	8	7
571	710	482	571	521	471
2	0	2	2	1	2
407	535	268	414	275	218
2659	3142	2777	2657	2841	2594
0	2	17	0	35	26
0	0	0	0	2	0
55	69	32	51	28	41
0	0	0	0	1	0
14	5	4	9	9	6
3620	4303	2199	3379	2288	2120
2	0	0	0	0	0
1	2	0	0	0	0
559	684	341	615	357	314
0	1	1	2	0	3
2	3	1	1	2	3
2	7	10	5	0	5
734	855	551	758	587	522
0	0	1	0	1	3
0	0	2	0	0	0
0	1	0	0	0	1
20	28	18	44	32	24
171	163	333	165	350	363
3725	4454	3154	3838	3262	3013
2	0	5	0	6	1
0	0	0	1	0	0
66	58	31	48	30	18
1421	1657	660	1392	672	635
3	4	0	2	0	1
1825	2143	997	1826	1072	984
3	7	7	8	12	13
1073	1259	1022	1072	1103	1092
2	4	8	4	2	6
2054	2296	1032	1916	1172	1158
1	5	1	1	2	2
3	2	1	0	0	0
1315	1422	605	1238	660	643
174	185	107	158	151	132
33	32	22	26	23	16
13	13	19	13	21	8
753	740	628	649	675	533
3	1	2	1	1	3
2018	2385	2145	2060	2334	2146
1094	1197	699	1051	774	752
22	21	17	15	17	21
1	0	0	0	1	0
5	11	0	8	9	8
397	508	151	479	150	143
708	826	504	683	577	568
832	956	669	763	712	651
325	377	491	281	547	498
1195	1366	1081	1156	1198	1177
456	514	1330	468	1310	1286
56	61	101	71	82	98
1970	2261	1516	1986	1552	1603
0	2	2	4	1	0
187	201	202	202	247	203
11	5	4	6	6	5
1	1	2	0	3	4
235	268	217	266	244	195
0	2	0	1	0	3
0	0	0	1	0	0
10	7	19	12	19	17
0	0	0	0	2	0
4292	5070	2071	4253	2260	2014
700	829	600	618	644	642
710	844	585	646	688	590
1004	1181	1125	964	1103	1055
546	630	407	528	451	437
732	822	657	682	711	745
530	682	1302	577	1341	1317
0	0	0	3	1	2
3045	3596	1882	3045	2022	1905
3103	3357	1975	2963	2115	2092
1614	1957	1440	1573	1471	1418
402	509	228	357	301	219
0	0	1	1	1	1
0	0	1	2	2	0
0	0	2	2	0	0
0	1	0	0	0	0
4270	4947	3500	4118	3861	3833
0	0	0	1	0	0
2028	2187	1183	1927	1246	1327
1362	1571	1382	1276	1533	1404
1	0	0	0	0	0
3550	4039	2641	3328	2781	2590
7080	8062	3610	6686	3800	3622
2	2	3	4	0	0
6	9	4	8	7	7
2441	2920	1861	2540	1946	1920
28	39	26	29	34	39
1534	1772	368	1515	413	381
488	547	339	459	355	344
691	810	552	729	521	556
6	16	9	5	10	6
596	685	391	579	410	388
0	8	6	4	6	3
0	0	2	0	0	0
25	31	68	24	72	88
1	3	3	2	1	2
869	937	787	798	816	801
567	643	517	544	523	563
16	25	14	16	10	8
2	2	1	0	0	0
5726	6507	4032	5243	4176	4110
14	13	4	6	8	8
552	657	842	542	926	837
5	2	2	5	3	3
236	285	55	221	52	47
4845	5446	3624	4708	3866	3674
7219	8373	2600	7024	2926	2550
1	2	2	1	1	4
713	780	570	667	590	579
1903	2220	1208	1925	1245	1274
194	166	105	169	127	119
1052	1299	453	1144	524	452
1280	1387	1046	1207	1245	1170
237	244	141	198	122	141
2	1	0	0	2	0
256	271	215	249	227	201
10	20	14	18	17	14
810	919	1129	771	1322	1165
6	11	4	3	15	14
9	15	9	4	8	6
1587	1697	691	1378	685	748
5	5	4	2	3	2
0	0	0	1	0	0
0	0	0	1	0	0
248	294	221	259	248	197
3	0	0	2	0	0
4	1	1	0	5	5
1144	1438	1143	1182	1199	1082
3604	4097	515	3364	594	573
5	0	3	3	5	0
77	93	48	71	47	40
12	7	12	4	14	9
0	0	1	0	0	1
2	8	2	10	6	5
7	2	0	2	3	9
3682	4414	6983	3671	7489	6765
429	474	421	454	514	480
8	11	13	9	17	12
3	7	1	3	2	0
0	1	0	0	0	0
45	56	10	55	11	5
0	0	0	1	0	0
24	36	48	23	40	37
60	108	44	70	69	51
23	38	180	26	177	182
435	491	344	409	418	393
2150	2475	1684	2109	1778	1655
0	0	0	1	0	0
16	12	24	10	19	19
1381	1699	1114	1408	1283	1178
0	0	0	0	0	1
0	0	1	0	0	1
296	355	193	287	220	198
116	165	95	115	94	84
1510	1689	1006	1390	1069	1071
2347	2519	2876	2091	3094	3141
104	119	89	116	98	92
2391	2742	2135	2387	2270	2205
0	0	0	0	1	0
1567	1781	777	1482	790	831
5011	5836	4296	4903	4681	4566
841	956	514	821	542	515
0	0	2	0	1	3
1328	1431	1169	1274	1282	1257
351	427	398	378	416	378
2075	2577	1668	2079	1899	1707
0	0	2	0	0	1
258	293	504	204	531	472
7	7	1	2	2	10
0	0	0	1	0	0
9	17	8	3	0	11
1	3	0	0	2	0
236	268	251	225	309	273
25	27	47	19	41	49
8846	10158	6169	8193	6761	6080
29	41	55	37	42	59
3	3	4	1	3	2
0	0	0	1	0	0
2016	2235	248	1924	248	235
